Mühərrikin həcmi,At gücü,Yanacaq növü,Marka,Model,Buraxılış ili,Ban növü,Rəng,Yürüş
1.5,107,Benzin,Ravon,Nexia R3,2017,Sedan,Göy,271480
1.4,153,Benzin,Chevrolet,Cruze,2016,Sedan,Gümüşü,145000
2.0,240,Benzin,Land Rover,RR Evoque,2015,Offroader / SUV,Qara,207000
2.4,178,Benzin,Hyundai,Sonata,2011,Sedan,Qara,190239
1.6,75,Benzin,Opel,Astra,1997,Universal,Yaşıl,355670
2.0,249,Benzin,BMW,430,2019,Liftbek,Ağ,22000
2.5,249,Hibrid,Toyota,Highlander,2022,Offroader / SUV,Ağ,0
1.7,80,Benzin,LADA (VAZ),Niva,2021,Offroader / SUV,Qara,18100
1.6,204,Benzin,Hyundai,Elantra,2018,Sedan,Gümüşü,93000
1.6,98,Benzin,LADA (VAZ),2115,2003,Sedan,Gümüşü,194346
1.6,128,Benzin,Hyundai,Elantra,2016,Sedan,Gümüşü,60000
0.0,204,Elektro,Honda,e:NS1,2022,Offroader / SUV,Ağ,0
3.0,435,Benzin,Mercedes,GLE 53 AMG,2022,Offroader / SUV,Qara,12000
3.5,306,Benzin,Mercedes,GLK 350,2014,Offroader / SUV,Ağ,72000
2.5,204,Benzin,Mercedes,C 250,2007,Sedan,Ağ,300000
2.0,245,Benzin,BMW,528,2015,Sedan,Yaş Asfalt,115000
2.2,170,Dizel,Mercedes,E 220,2012,Sedan,Qara,250000
2.4,188,Benzin,Hyundai,Sonata,2015,Sedan,Qara,219916
1.8,99,Hibrid,Lexus,CT 200h,2013,Hetçbek,Ağ,180000
1.5,106,Benzin,Chevrolet,Nexia,2023,Sedan,Ağ,0
1.6,116,Dizel,Hyundai,i30,2011,Universal,Qara,173000
1.6,123,Benzin,Kia,Rio,2015,Sedan,Gümüşü,84999
4.0,282,Benzin,Toyota,Land Cruiser,2018,Offroader / SUV,Qara,66000
2.6,177,Benzin,Mercedes,E 240,2004,Sedan,Qara,343608
1.5,160,Benzin,Chevrolet,Malibu,2016,Sedan,Yaş Asfalt,143000
1.5,75,Benzin,LADA (VAZ),21099,2003,Sedan,Gümüşü,310000
1.6,115,Dizel,Kia,Ceed,2009,Universal,Qara,255000
2.0,274,Benzin,Kia,Optima,2011,Sedan,Ağ,204387
3.5,249,Benzin,Toyota,Highlander,2014,Offroader / SUV,Qara,280000
4.0,282,Benzin,Toyota,Land Cruiser,2013,Offroader / SUV,Qara,221000
2.4,140,Benzin,Chevrolet,Captiva,2008,Offroader / SUV,Ağ,85000
2.5,192,Benzin,BMW,325,1997,Kupe,Tünd qırmızı,290000
2.6,120,Dizel,Hyundai,HD-45,2009,Yük maşını,Ağ,250000
3.5,272,Benzin,Mercedes,E 350,2009,Sedan,Qara,249000
1.5,65,Benzin,LADA (VAZ),2106,1984,Sedan,Ağ,250000
4.4,333,Benzin,BMW,745,2001,Sedan,Göy,358000
3.0,245,Dizel,Land Rover,RR Sport,2010,Offroader / SUV,Göy,264000
1.6,75,Benzin,LADA (VAZ),21013,1984,Sedan,Gümüşü,65322
3.0,248,Dizel,Land Rover,Range Rover,2013,Offroader / SUV,Qara,218000
1.6,126,Dizel,Kia,Cerato,2010,Sedan,Yaş Asfalt,233500
2.8,220,Benzin,Audi,A6,2015,Sedan,Ağ,88700
2.7,163,Benzin,Toyota,Prado,2013,Offroader / SUV,Ağ,178000
2.0,150,Benzin,Nissan,X-Trail,2003,Offroader / SUV,Qızılı,256000
2.0,225,Benzin,Bestune,T99,2022,Offroader / SUV,Göy,0
1.3,65,Benzin,LADA (VAZ),2107,1992,Sedan,Ağ,208518
4.4,286,Benzin,Land Rover,Range Rover,2005,Offroader / SUV,Yaşıl,195900
1.8,116,Benzin,Opel,Vectra,1996,Sedan,Ağ,346666
2.5,76,Dizel,Ford,Transit,1998,Furqon,Narıncı,499678
1.7,80,Dizel,Opel,Astra,2005,Universal,Gümüşü,195000
2.2,150,Dizel,Mercedes,E 220,2003,Sedan,Göy,330000
1.4,90,Benzin,Opel,Astra,2009,Hetçbek,Göy,217000
3.5,280,Benzin,Infiniti,FX35,2007,Offroader / SUV,Qara,252000
3.7,333,Benzin,Infiniti,QX70,2014,Offroader / SUV,Qara,109200
2.7,167,Benzin,Toyota,Prado,2012,Offroader / SUV,Qara,82000
1.8,150,Benzin,Hyundai,Elantra,2011,Sedan,Ağ,202307
1.9,130,Dizel,Renault,Grand Scenic,2007,Minivan,Boz,220314
4.0,282,Benzin,Toyota,Land Cruiser,2013,Offroader / SUV,Qara,127000
1.5,185,Benzin,Ford,Fusion,2016,Sedan,Qara,158700
1.4,162,Benzin,Fiat,500L,2013,Minivan,Sarı,175000
2.4,140,Dizel,Ford,Transit,2008,Yük maşını,Gümüşü,148000
4.0,243,Benzin,Toyota,Land Cruiser,2008,Offroader / SUV,Qara,147000
3.0,333,Benzin,Mercedes,GLE 400 Coupe,2015,Offroader / SUV,Göy,75500
2.0,145,Benzin,Kia,Magentis,2005,Sedan,Qara,370000
2.4,140,Dizel,Ford,Transit,2010,Furqon,Ağ,153764
2.7,167,Benzin,Toyota,Prado,2008,Offroader / SUV,Qara,178000
2.0,184,Dizel,Kia,Sorento,2013,Offroader / SUV,Gümüşü,167000
2.0,184,Dizel,Kia,Sorento,2015,Offroader / SUV,Narıncı,87000
2.2,170,Dizel,Mercedes,E 220,2020,Sedan,Qara,39500
1.6,81,Benzin,LADA (VAZ),2112,2005,Hetçbek,Qara,216318
1.5,106,Benzin,Chevrolet,Nexia,2022,Sedan,Ağ,7000
1.5,65,Benzin,LADA (VAZ),2107,2005,Sedan,Ağ,27000
1.7,80,Benzin,LADA (VAZ),Niva,2014,Offroader / SUV,Ağ,135000
2.7,189,Benzin,Hyundai,Santa Fe,2007,Offroader / SUV,Ağ,200000
4.0,282,Benzin,Toyota,Land Cruiser,2012,Offroader / SUV,Ağ,189548
2.2,202,Dizel,Kia,Sorento,2023,Offroader / SUV,Qara,0
2.0,150,Benzin,Hyundai,Elantra,2017,Sedan,Göy,94000
2.2,170,Dizel,Mercedes,E 220,2014,Sedan,Ağ,192000
1.3,90,Dizel,Opel,Astra,2007,Hetçbek,Mavi,310000
1.5,76,Hibrid,Toyota,Prius,2006,Hetçbek,Gümüşü,283000
1.8,99,Hibrid,Toyota,Prius,2012,Liftbek,Gümüşü,227000
1.2,98,Benzin,Nissan,Note,2015,Hetçbek,Ağ,41000
1.5,109,Dizel,Kia,Rio,2006,Hetçbek,Qara,352000
2.0,184,Dizel,Hyundai,Santa Fe,2013,Offroader / SUV,Gümüşü,193000
2.5,241,Hibrid,Lexus,RX 350,2023,Offroader / SUV,Qara,0
2.2,202,Dizel,Hyundai,Grandeur,2014,Sedan,Ağ,208000
1.8,122,Benzin,Mercedes,C 180,1995,Sedan,Yaşıl,500000
1.5,170,Benzin,Chevrolet,Equinox,2018,Offroader / SUV,Göy,90942
2.0,122,Benzin,Mercedes,190,1993,Sedan,Ağ,41553
2.0,139,Benzin,Hyundai,Sonata,1995,Sedan,Göy,321656
4.0,503,Benzin,Mercedes-Maybach,S 580 4MATIC,2023,Sedan,Qara,0
2.7,107,Benzin,GAZ,33027,2023,Yük maşını,Ağ,0
3.0,190,Dizel,Toyota,Prado,2012,Offroader / SUV,Ağ,260000
2.2,143,Dizel,Mercedes,E 220,2000,Sedan,Qara,310000
2.0,274,Benzin,Hyundai,Sonata,2014,Sedan,Göy,148542
2.5,170,Benzin,BMW,523,1998,Sedan,Qara,238000
3.0,306,Dizel,Land Rover,Discovery,2016,Offroader / SUV,Qara,198000
3.5,307,Benzin,Infiniti,FX35,2012,Offroader / SUV,Qara,142000
2.7,185,Benzin,Hyundai,Santa Fe,2008,Offroader / SUV,Ağ,160000
1.8,136,Benzin,Toyota,Corolla,2017,Sedan,Ağ,34000
12.0,440,Dizel,MAN,TGA 18.400,2009,Dartqı,Ağ,836000
3.0,400,Benzin,Land Rover,Defender,2020,Offroader / SUV,Qara,31000
2.0,184,Dizel,BMW,520,2009,Sedan,Qara,119000
2.5,200,Benzin,Toyota,Camry,2014,Sedan,Göy,91000
1.6,80,Benzin,LADA (VAZ),2115,2012,Sedan,Qara,160000
1.5,109,Benzin,Nissan,Tiida,2013,Hetçbek,Ağ,24000
11.0,360,Dizel,Renault,Premium 420,2007,Dartqı,Ağ,676452
1.6,75,Benzin,LADA (VAZ),2107,1999,Sedan,Bej,258095
2.7,163,Benzin,Toyota,Prado,2014,Offroader / SUV,Qara,120000
2.0,252,Benzin,Audi,A6,2021,Sedan,Qara,15000
2.5,76,Dizel,Ford,Transit,1999,Yük maşını,Ağ,502000
3.0,130,Dizel,Isuzu,NMR 85 H,2022,Yük maşını,Ağ,0
1.6,80,Benzin,LADA (VAZ),2115,2010,Sedan,Qara,271000
2.5,193,Benzin,BMW,525,1999,Sedan,Gümüşü,250000
2.7,167,Benzin,Toyota,Prado,2013,Offroader / SUV,Ağ,119700
2.0,245,Benzin,BMW,528,2012,Sedan,Ağ,181000
1.6,75,Benzin,LADA (VAZ),2107,2010,Sedan,Qara,50000
2.7,170,Dizel,Mercedes,E 270,2000,Sedan,Gümüşü,415785
1.6,114,Dizel,Mercedes,Vito,2014,Minivan,Ağ,352000
1.6,75,Benzin,LADA (VAZ),2107,2012,Sedan,Ağ,155555
2.2,170,Dizel,Mercedes,E 220,2015,Sedan,Qara,185000
1.6,106,Benzin,LADA (VAZ),Priora,2013,Hetçbek,Ağ,295000
2.0,274,Benzin,Kia,Optima,2013,Sedan,Qara,142000
2.3,193,Benzin,Mercedes,C 230,2000,Sedan,Gümüşü,258741
2.0,136,Benzin,Opel,Astra,1995,Sedan,Göy,204609
1.5,181,Benzin,Ford,Fusion,2016,Sedan,Göy,99000
5.5,388,Benzin,Mercedes,GL 500,2011,Offroader / SUV,Ağ,130000
1.4,140,Benzin,Chevrolet,Trax,2013,Offroader / SUV,Yaş Asfalt,159000
1.5,86,Dizel,Renault,Megane,2007,Hetçbek,Göy,126541
1.4,90,Benzin,Opel,Astra,2009,Universal,Qara,231000
1.6,110,Benzin,Skoda,Kamiq,2023,Offroader / SUV,Göy,0
1.6,115,Dizel,Hyundai,i30,2009,Hetçbek,Gümüşü,210800
1.6,115,Dizel,Hyundai,i30,2008,Universal,Bej,181000
2.0,184,Benzin,Hyundai,ix35,2014,Offroader / SUV,Qara,180000
1.5,65,Benzin,LADA (VAZ),2107,2009,Sedan,Ağ,145128
1.5,75,Benzin,Daewoo,Nexia,2008,Sedan,Qızılı,319000
1.4,153,Benzin,Hyundai,Elantra,2018,Sedan,Qara,79000
3.0,200,Benzin,Nissan,Maxima,2005,Sedan,Qara,245000
1.5,181,Benzin,Ford,Fusion,2016,Sedan,Göy,159000
1.4,109,Benzin,Kia,Ceed,2008,Universal,Qara,202002
1.4,90,Benzin,Opel,Corsa,2008,Hetçbek,Ağ,170000
2.5,249,Hibrid,Toyota,Highlander,2022,Offroader / SUV,Ağ,1600
1.5,109,Benzin,Nissan,Tiida,2012,Sedan,Ağ,61200
2.0,320,Plug-in hibrid,Mercedes,E 300 e,2021,Sedan,Qara,16883
2.4,150,Benzin,Hyundai,Sonata,2002,Sedan,Qara,213846
2.0,136,Benzin,Mercedes,E 200,1997,Sedan,Yaş Asfalt,230000
2.0,184,Dizel,Kia,Sorento,2011,Offroader / SUV,Ağ,76300
1.4,97,Benzin,Hyundai,Accent,2008,Sedan,Ağ,145300
1.4,140,Benzin,Opel,Astra,2015,Sedan,Qara,140000
1.6,122,Benzin,Toyota,Corolla,2019,Sedan,Ağ,75700
1.6,261,Plug-in hibrid,Hyundai,Santa Fe,2022,Offroader / SUV,Qara,9000
2.0,240,Benzin,Hyundai,Santa Fe,2017,Offroader / SUV,Ağ,22100
1.4,100,Benzin,Chevrolet,Aveo,2012,Sedan,Yaş Asfalt,112000
2.0,245,Benzin,Lexus,IS 200,2016,Sedan,Ağ,131000
4.0,249,Benzin,Toyota,Prado,2006,Offroader / SUV,Qara,222000
2.0,150,Benzin,Kia,Cerato,2015,Sedan,Qara,118000
1.6,75,Benzin,LADA (VAZ),21011,1976,Sedan,Qırmızı,11111
2.3,300,Benzin,Ford,Explorer,2020,Offroader / SUV,Ağ,42000
2.0,245,Benzin,Hyundai,Sonata,2015,Sedan,Ağ,76000
2.5,218,Hibrid,Toyota,RAV4,2023,Offroader / SUV,Yaş Asfalt,0
1.5,105,Benzin,Great Wall,Voleex C30,2014,Sedan,Ağ,610000
3.6,286,Benzin,Jeep,Grand Cherokee,2014,Offroader / SUV,Ağ,213000
0.0,526,Elektro,BMW,i4,2023,Sedan,Qara,0
2.7,163,Benzin,Toyota,Prado,2015,Offroader / SUV,Ağ,58000
2.4,175,Benzin,Hyundai,Santa Fe,2012,Offroader / SUV,Ağ,240847
1.5,65,Benzin,LADA (VAZ),21011,1980,Sedan,Qara,87654
11.0,191,Dizel,KamAz,5410,1993,Yük maşını,Ağ,128000
1.4,218,Plug-in hibrid,Volkswagen,Tayron,2022,Offroader / SUV,Ağ,0
1.7,80,Benzin,LADA (VAZ),Niva,2015,Offroader / SUV,Göy,131000
1.5,110,Dizel,Kia,Rio,2009,Hetçbek,Gümüşü,280000
2.0,150,Dizel,Kia,Sorento,2013,Offroader / SUV,Yaş Asfalt,175938
1.2,79,Benzin,Nissan,March,2014,Hetçbek,Gümüşü,51450
1.8,160,Benzin,Volkswagen,Passat CC,2012,Sedan,Qara,175000
2.4,140,Dizel,Ford,Transit,2006,Yük maşını,Narıncı,219000
4.0,282,Benzin,Toyota,Land Cruiser,2014,Offroader / SUV,Ağ,73333
2.2,170,Dizel,Mercedes,C 220,2010,Universal,Ağ,322000
2.0,184,Dizel,Hyundai,Tucson,2014,Offroader / SUV,Ağ,131000
3.0,400,Benzin,Land Rover,Range Rover,2023,Offroader / SUV,Qara,0
2.0,141,Benzin,Kia,Sportage,2009,Offroader / SUV,Boz,145351
2.0,109,Dizel,Mercedes,200 D,1979,Sedan,Göy,424000
1.4,153,Benzin,Chevrolet,Cruze,2017,Sedan,Qara,165000
3.0,400,Benzin,Land Rover,Range Rover,2019,Offroader / SUV,Ağ,37500
2.0,150,Benzin,Hyundai,Elantra,2022,Sedan,Qara,18500
3.0,340,Benzin,Land Rover,Range Rover,2018,Offroader / SUV,Ağ,33000
2.5,85,Dizel,Ford,Transit,1994,Mikroavtobus,Ağ,15500
4.0,585,Benzin,Mercedes,G 63 AMG,2022,Offroader / SUV,Qara,0
5.0,510,Benzin,Land Rover,Range Rover,2014,Offroader / SUV,Qara,77000
2.8,204,Benzin,Mercedes,E 280,1998,Sedan,Qara,295000
2.2,150,Dizel,Mercedes,Vito 115,2010,Minivan,Qara,225000
1.4,141,Benzin,Chevrolet,Cruze,2011,Sedan,Gümüşü,230000
1.4,90,Benzin,Opel,Astra,2008,Universal,Gümüşü,275000
1.6,75,Benzin,LADA (VAZ),2107,1999,Sedan,Tünd qırmızı,170000
1.4,140,Benzin,Chevrolet,Cruze,2014,Sedan,Qara,222000
2.0,245,Benzin,BMW,530,2018,Sedan,Qara,46000
1.8,109,Benzin,Mercedes,190,1992,Sedan,Boz,98154
0.0,204,Elektro,Volkswagen,ID.4,2022,Offroader / SUV,Göy,0
2.4,170,Benzin,Mercedes,C 230,2000,Sedan,Gümüşü,380000
2.0,274,Benzin,Hyundai,Sonata,2015,Sedan,Ağ,98800
2.0,245,Benzin,BMW,528,2013,Sedan,Qara,90000
2.0,184,Dizel,Kia,Sorento,2010,Offroader / SUV,Yaş Asfalt,220000
1.5,150,Benzin,JAC,J7,2022,Liftbek,Göy,0
3.0,340,Benzin,BMW,X5,2019,Offroader / SUV,Ağ,67700
2.0,224,Benzin,Hongqi,HS5,2021,Offroader / SUV,Göy,38800
3.0,340,Benzin,BMW,X7,2023,Offroader / SUV,Qara,0
1.6,124,Benzin,Kia,Cerato,2011,Sedan,Ağ,280000
2.2,116,Dizel,Mercedes,Vito 111,2010,Furqon,Ağ,210400
2.6,170,Benzin,Mercedes,C 240,2002,Sedan,Ağ,300000
1.8,150,Benzin,Hyundai,Elantra,2015,Sedan,Gümüşü,126406
2.7,163,Benzin,Toyota,Prado,2008,Offroader / SUV,Gümüşü,193000
2.2,150,Dizel,Mercedes,E 220,2008,Sedan,Ağ,326000
1.6,106,Benzin,LADA (VAZ),Priora,2013,Liftbek,Ağ,0
4.7,435,Benzin,Mercedes,S 500,2013,Sedan,Ağ,83000
1.8,125,Benzin,Opel,Astra,2006,Hetçbek,Gümüşü,250000
2.0,184,Dizel,Hyundai,Santa Fe,2008,Offroader / SUV,Gümüşü,109000
2.5,143,Benzin,BMW,525,1998,Sedan,Mavi,226000
2.0,163,Dizel,Kia,Sportage,2015,Offroader / SUV,Ağ,145350
1.4,140,Benzin,Chevrolet,Cruze,2015,Sedan,Gümüşü,119000
2.0,184,Dizel,Hyundai,Santa Fe,2011,Offroader / SUV,Ağ,182000
0.0,10,Benzin,IJ,Planeta 4,1978,Motosiklet,Qırmızı,10000
1.8,122,Benzin,Mercedes,C 180,1995,Sedan,Qara,292300
3.0,400,Benzin,Land Rover,Defender,2022,Offroader / SUV,Qara,0
2.7,189,Benzin,Hyundai,Santa Fe,2005,Offroader / SUV,Ağ,150600
1.6,98,Benzin,LADA (VAZ),Priora,2015,Liftbek,Ağ,137539
1.6,109,Benzin,Chevrolet,Lacetti,2006,Hetçbek,Qara,195000
1.6,75,Benzin,LADA (VAZ),2104,2008,Universal,Ağ,56525
2.0,184,Dizel,Kia,Sorento,2013,Offroader / SUV,Yaş Asfalt,183500
2.0,136,Benzin,Mercedes,C 200,1998,Universal,Göy,425000
1.4,141,Benzin,Chevrolet,Cruze,2015,Sedan,Gümüşü,145000
2.0,245,Benzin,BMW,530,2018,Sedan,Göy,70000
1.6,75,Benzin,LADA (VAZ),2106,2005,Sedan,Ağ,55000
1.6,75,Benzin,LADA (VAZ),2106,1996,Sedan,Bej,85185
5.5,571,Benzin,Mercedes,G 63 AMG,2016,Offroader / SUV,Ağ,93000
2.0,184,Dizel,Hyundai,Santa Fe,2009,Offroader / SUV,Ağ,104000
3.0,265,Dizel,Mercedes,GL 350,2011,Offroader / SUV,Ağ,280000
1.8,204,Benzin,Mercedes,C 250,2012,Sedan,Ağ,106000
1.8,122,Benzin,Mercedes,C 180,1998,Universal,Gümüşü,607000
10.0,340,Dizel,MAZ,642208,2008,Dartqı,Ağ,999999
1.6,230,Hibrid,Kia,Sorento,2020,Offroader / SUV,Boz,12000
1.4,97,Benzin,Kia,Rio,2006,Hetçbek,Narıncı,175000
1.6,115,Dizel,Kia,Ceed,2008,Hetçbek,Gümüşü,185000
3.2,218,Benzin,Mercedes,ML 320,1999,Offroader / SUV,Gümüşü,396180
1.6,105,Benzin,Ford,Focus,2015,Sedan,Gümüşü,188270
3.0,249,Dizel,Land Rover,Discovery,2013,Offroader / SUV,Qara,243000
2.0,184,Dizel,Hyundai,Santa Fe,2010,Offroader / SUV,Gümüşü,195600
1.8,150,Benzin,Hyundai,Elantra,2012,Sedan,Gümüşü,118800
2.0,139,Dizel,JAC,T8,2022,Pikap,Boz,0
1.6,75,Benzin,LADA (VAZ),Niva,1994,Offroader / SUV,Tünd qırmızı,212611
2.5,245,Hibrid,Lexus,NX 350h,2022,Offroader / SUV,Yaş Asfalt,0
3.0,231,Benzin,Mercedes,E 280,2006,Sedan,Qara,260000
1.8,150,Benzin,Hyundai,Elantra,2012,Sedan,Boz,135000
1.4,100,Benzin,Kia,Stonic,2023,Hetçbek,Ağ,0
2.6,166,Benzin,Mercedes,E 260,1991,Sedan,Gümüşü,400000
1.6,75,Benzin,LADA (VAZ),2107,2010,Sedan,Qara,259000
2.0,184,Dizel,Kia,Sorento,2012,Offroader / SUV,Ağ,217000
3.3,300,Dizel,Lexus,LX 500d,2022,Offroader / SUV,Qara,0
3.0,272,Benzin,BMW,530,2008,Sedan,Ağ,380000
5.0,375,Benzin,Land Rover,Discovery,2013,Offroader / SUV,Qara,132372
1.3,90,Dizel,Opel,Astra,2007,Hetçbek,Gümüşü,175000
4.0,503,Benzin,Mercedes-Maybach,S 580 4MATIC,2022,Sedan,Qara,0
1.6,124,Benzin,Toyota,Corolla,2015,Sedan,Ağ,124000
2.0,150,Benzin,Kia,Cerato,2019,Sedan,Göy,69800
2.0,184,Dizel,Kia,Sorento,2018,Offroader / SUV,Ağ,111000
1.5,109,Benzin,Chery,Fulwin 2,2013,Hetçbek,Bej,92000
1.8,116,Benzin,Peugeot,406,2002,Sedan,Göy,250000
1.8,150,Benzin,Hyundai,Elantra,2014,Sedan,Qara,224000
2.2,197,Dizel,Hyundai,Santa Fe,2012,Offroader / SUV,Gümüşü,231219
1.5,76,Hibrid,Toyota,Prius,2006,Liftbek,Ağ,355557
1.5,65,Benzin,LADA (VAZ),2106,1985,Sedan,Ağ,100000
1.4,107,Benzin,Kia,Rio,2012,Sedan,Qəhvəyi,246000
1.5,76,Hibrid,Toyota,Prius,2008,Liftbek,Mavi,231000
3.0,231,Benzin,BMW,530,2001,Sedan,Göy,290000
1.6,101,Benzin,Opel,Astra,1999,Universal,Qara,359000
1.6,98,Benzin,LADA (VAZ),Priora,2011,Sedan,Qara,190876
5.5,557,Benzin,Mercedes,GL 63 AMG,2013,Offroader / SUV,Qara,158600
2.8,150,Dizel,GAZ,Next A21R22-30,2023,Yük maşını,Ağ,0
0.0,210,Elektro,Volkswagen,ID.6,2023,Offroader / SUV,Göy,0
2.2,194,Dizel,Mercedes,E 220,2016,Sedan,Qara,235000
2.0,265,Benzin,Hyundai,Santa Fe,2013,Offroader / SUV,Gümüşü,203233
2.0,136,Benzin,Mercedes,C 200,1997,Sedan,Göy,386637
3.6,286,Benzin,Jeep,Grand Cherokee,2014,Offroader / SUV,Qara,178000
2.2,204,Dizel,Mercedes,E 250,2015,Sedan,Gümüşü,106000
3.5,189,Benzin,Mitsubishi,Pajero,2009,Offroader / SUV,Ağ,161000
1.2,65,Benzin,LADA (VAZ),2101,1972,Sedan,Tünd qırmızı,50000
3.0,340,Benzin,Land Rover,Discovery,2018,Offroader / SUV,Qara,30000
2.5,194,Benzin,Mazda,6,2018,Sedan,Qəhvəyi,58000
6.0,610,Benzin,Bentley,Continental GT,2009,Kupe,Qara,23000
1.6,132,Benzin,Hyundai,Elantra,2016,Sedan,Qara,52000
2.5,175,Benzin,Subaru,Outback,2007,Universal,Qara,17800
5.7,383,Benzin,Lexus,LX 570,2018,Offroader / SUV,Gümüşü,20000
1.4,140,Benzin,Chevrolet,Cruze,2013,Sedan,Gümüşü,284000
2.4,140,Dizel,Ford,Transit,1997,Furqon,Göy,340000
2.0,201,Benzin,Hyundai,Sonata,2012,Sedan,Göy,286463
1.6,92,Benzin,Tofas,Sahin,2003,Sedan,Gümüşü,78000
1.4,90,Benzin,Opel,Astra,2008,Hetçbek,Boz,285000
1.4,90,Dizel,Toyota,Corolla,2005,Universal,Gümüşü,288337
1.9,120,Dizel,Opel,Astra,2006,Universal,Göy,392000
2.0,245,Benzin,BMW,528,2015,Sedan,Ağ,116000
1.8,100,Benzin,Iran Khodro,Samand,2007,Sedan,Boz,222743
1.6,80,Benzin,LADA (VAZ),2115,2011,Sedan,Tünd qırmızı,363000
4.6,309,Benzin,Toyota,Land Cruiser,2014,Offroader / SUV,Boz,103000
2.5,99,Dizel,Mitsubishi,Pajero,1992,Offroader / SUV,Yaş Asfalt,214654
3.0,340,Benzin,Land Rover,Range Rover,2016,Offroader / SUV,Qara,126000
1.6,177,Benzin,Hyundai,Tucson,2016,Offroader / SUV,Ağ,181000
4.4,286,Benzin,BMW,X5,2002,Offroader / SUV,Ağ,318000
2.2,123,Dizel,Ford,Tourneo Custom,2022,Minivan,Ağ,0
2.0,140,Benzin,Nissan,Qashqai,2010,Offroader / SUV,Ağ,250000
2.0,184,Dizel,Kia,Sorento,2012,Offroader / SUV,Qara,174000
1.5,76,Hibrid,Toyota,Prius,2008,Liftbek,Qırmızı,180000
1.5,181,Benzin,Ford,Fusion,2018,Sedan,Göy,86600
1.5,160,Benzin,Chevrolet,Malibu,2016,Sedan,Boz,85000
2.4,140,Dizel,Ford,Transit,2010,Yük maşını,Ağ,426000
2.0,184,Dizel,Hyundai,Santa Fe,2009,Offroader / SUV,Qara,171000
1.2,80,Benzin,Nissan,Micra,2012,Hetçbek,Qəhvəyi,56893
1.6,115,Dizel,Kia,Ceed,2007,Hetçbek,Mavi,128000
1.4,109,Benzin,Hyundai,i30,2009,Hetçbek,Boz,180000
1.8,170,Benzin,Volkswagen,Passat,2003,Sedan,Qara,176000
2.2,150,Dizel,Mercedes,Vito 115,2010,Minivan,Yaş Asfalt,389000
2.2,197,Dizel,Kia,Carnival,2011,Minivan,Ağ,185187
1.4,140,Benzin,Chevrolet,Cruze,2012,Sedan,Qırmızı,230000
2.5,218,Hibrid,Toyota,RAV4,2022,Offroader / SUV,Ağ,16000
4.0,282,Benzin,Toyota,Land Cruiser,2011,Offroader / SUV,Ağ,136000
2.4,170,Benzin,Mercedes,E 240,2000,Sedan,Gümüşü,325000
2.2,202,Dizel,Kia,Carnival,2020,Minivan,Qara,7000
1.6,116,Dizel,Hyundai,i30,2010,Universal,Yaş Asfalt,183000
